modelo,tipo,preço_medio_reais,nota_global,som,anc,autonomia_horas,estilo,microfone,possui_modo_jogo,resistencia,link_review,link_amazon,link_importar,modo_ambiente,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
Wavefun Xpods 3T,Intra Auricular,140,8.7,8.7,N/A,6,Cápsulas,8,Não,IPX7,https://youtu.be/O48zZj46YVQ,https://amzn.to/3ApC8uP,N/A,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Awei T19,Intra Auricular,215,8.7,8.7,N/A,5,Cápsulas,8,Sim,IPX5,https://youtu.be/PinG7bl88hY,https://amzn.to/3AjJv7f,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Nuarl N6 Mini 2 SE,Intra Auricular,N/A,8.7,8.7,N/A,8,Cápsulas,8.3,Sim,IPX7,https://youtu.be/IoYH1qG4mec,N/A,https://nuarl.com/,8.65,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Nuarl N6 Pro Serie 2,Intra Auricular,N/A,8.7,8.7,N/A,10,Cápsulas,8.3,Sim,IPX4,https://youtu.be/IoYH1qG4mec,N/A,https://nuarl.com/,8.65,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
FIIL T1 Pro,Intra Auricular,340,8.7,8.5,N/A,7,Cápsulas,9,Sim,IPX5,https://youtu.be/_HXAOF05vIw,https://amzn.to/3AoG2nR,https://s.click.aliexpress.com/e/_DC5RFB9,N/A,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
SoundPeats Truengine 3 SE,Intra Auricular,230,8.6,8.5,N/A,6,Cápsulas,8.8,Não,IPX5,https://youtu.be/Ac7CO2_Zo4A,https://amzn.to/3Aqzyoz,https://s.click.aliexpress.com/e/_DkuOHkr,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya B530 Pro,Intra Auricular,34,8.6,8.5,N/A,8.5,Cápsulas,8.7,Não,IPX5,https://youtu.be/TdlR-5BPHbw,https://amzn.to/3FuQTQH,https://amzn.to/3jyyCJp,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
Syllable S115,Intra Auricular,175,8.6,8.5,N/A,10,Cápsulas,8.7,Não,IPX6,https://youtu.be/M4kJiQl6lns,https://amzn.to/3Fu1345,https://s.click.aliexpress.com/e/_DdLAzRN,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
QCY-T10,Intra Auricular,100,8.6,8.5,N/A,3.5,Hastes,8.5,Não,IPX5,https://youtu.be/QTufWEijijY,https://amzn.to/3iJ6Edo,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Blitzwolf BW-FYE7,Intra Auricular,180,8.6,8.5,N/A,4.5,Cápsulas,8,Não,IPX4,https://youtu.be/YbYJrFnLOxo,https://amzn.to/3Aq2aOs,https://s.click.aliexpress.com/e/_Dl20iv9,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
QCY-T8,Intra Auricular,170,8.5,8.5,N/A,4,Hastes,8,Não,IPX4,https://youtu.be/NBqYPicUHww,https://amzn.to/3BpdJXP,https://s.click.aliexpress.com/e/_DEI0Zjl,N/A,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
QCC010 MAX,Intra Auricular,120,8.5,8.3,N/A,8,Cápsulas,8.7,Não,IPX5,https://youtu.be/eODf7watjU4,N/A,N/A,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Edifier X3,Intra Auricular,125,8.5,8.3,N/A,6,Hastes,8.7,Não,IPX5,https://youtu.be/pHtUzRLEazk,https://amzn.to/3mBoyzF,https://s.click.aliexpress.com/e/_DkEwRDZ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Xiaomi Redmi Airdots 3,Intra Auricular,200,8.5,8.3,N/A,5,Cápsulas,8.5,Não,IPX4,https://youtu.be/5TOMlR3JZqA,https://amzn.to/3oLR8Rt,https://s.click.aliexpress.com/e/_DlEbu7h,N/A,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Ugreen HiTune,Intra Auricular,260,8.5,8.3,N/A,7,Cápsulas,8.5,Não,IPX5,https://youtu.be/dQUQi0gnm4w,https://amzn.to/3akTQ8j,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Syllable S103,Intra Auricular,90,8.5,8.3,N/A,4,Cápsulas,8,Não,IPX6,https://youtu.be/yYvFDZ1eXgg,https://amzn.to/3BrPb06,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tronsmart Onyx Free,Intra Auricular,140,8.5,8.3,N/A,6,Cápsulas,8,Não,IPX7,https://youtu.be/dzMEUNyxAu4,https://amzn.to/3oKOY4Q,https://bit.ly/2GsP3pQ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Blitzwolf BW-FLB2,Intra Auricular,170,8.5,8.3,N/A,4,Hastes,8,Sim,IPX4,https://youtu.be/QOMWViE3goE,https://amzn.to/3uSZHv5,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Lenovo XT90,Intra Auricular,65,8.5,8.3,N/A,3,Hastes,7.5,Não,IP54,https://youtu.be/uukPYz4Ts-k,https://amzn.to/3iM6j9w,https://s.click.aliexpress.com/e/_DkBI1NZ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
ZMI PurPods Pro,Intra Auricular,340,8.5,8.3,8.3,10,Hastes,8.5,Não,IPX4,https://youtu.be/v6q4AUPpuMM,https://amzn.to/3oKMyD2,N/A,8.3,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
Blitzwolf BW-ANC2,Intra Auricular,205,8.5,8.3,7,30,Com Fio,7.5,Não,IPX5,https://youtu.be/geUr86MgLaA,https://amzn.to/3oeqcYP,N/A,N/A,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
KZ S1 Hybrid,Intra Auricular,130,8.4,8.2,N/A,3,Cápsulas,8.5,Sim,N/A,https://youtu.be/aRc84fUovfo,https://amzn.to/3BkP2eZ,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Blackview Airbuds 10 Pro,Intra Auricular,200,8.4,8,N/A,5.5,Com Gancho,8.8,Não,IP68,https://youtu.be/eTFa0_yICtM,https://amzn.to/3CPxDgW,https://s.click.aliexpress.com/e/_DnSB259,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya X3,Intra Auricular,260,8.4,8,N/A,8,Com Gancho,8.8,Sim,IPX5,https://youtu.be/M7QSRLCgUsw,https://amzn.to/3R252vf,https://amzn.to/3R252vf,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Blitzwolf BW-FYE8,Intra Auricular,180,8.4,8,N/A,8.5,Hastes,8.7,Não,IPX5,https://youtu.be/Q3wk-n636Ww,https://amzn.to/3DiPPxq,https://s.click.aliexpress.com/e/_DBBcHOx,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Xiaomi Redmi Airdots S,Intra Auricular,50,8.4,8,N/A,4,Cápsulas,8.5,Sim,IPX4,https://youtu.be/vCgeumZSycw,https://amzn.to/3Foof3X,https://s.click.aliexpress.com/e/_DFueYJ1,N/A,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Xiaomi Redmi Airdots 2,Intra Auricular,50,8.4,8,N/A,4,Cápsulas,8.5,Não,IPX4,https://youtu.be/sUEYPGV54dQ,https://amzn.to/3alUC4Q,https://s.click.aliexpress.com/e/_DDZad0n,N/A,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
QCY-T5,Intra Auricular,70,8.4,8,N/A,4,Hastes,8.5,Sim,IPX4,https://youtu.be/EcKxqpxFySI,https://amzn.to/3AoWswu,https://s.click.aliexpress.com/e/_DdP07kP,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Xiaomi Redmi Airdots 2S,Intra Auricular,100,8.4,8,N/A,4,Cápsulas,8.5,Sim,N/A,https://youtu.be/Qhe6167V9rY,https://amzn.to/2YyFo9V,N/A,N/A,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
QCY-T4,Intra Auricular,125,8.4,8,N/A,4,Cápsulas,8,Sim,IPX4,https://youtu.be/2FIBwC7Y6ZU,https://amzn.to/3DnPlGC,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
QCY Crossky Link,Intra Auricular,100,8.4,7.7,N/A,10,Com Gancho,8.8,Sim,IPX6,https://youtu.be/s592yr2LfXc,https://amzn.to/3OUHusF,https://s.click.aliexpress.com/e/_DDlYOCf,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
AirPods Pro 2 Shopee,Intra Auricular,85,8,8.7,N/A,3,Hastes,8,Não,N/A,https://youtu.be/kHGdSPOImLA,N/A,https://shope.ee/4KlCfFqnR2,N/A,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
ANC Air30 Pro,Intra Auricular,180,8,8.55,7.7,3,Hastes,8,Não,N/A,https://youtu.be/3fyGuW3h5n0,N/A,https://shope.ee/2pwFYNrSka,7.7,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
ANC Air21 Pro,Intra Auricular,N/A,8,8.55,7.7,3,Hastes,8,Não,N/A,https://youtu.be/jrj0RGS_BWs,N/A,https://shope.ee/2pwFYNrSka,7.7,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
ANC Air20 Pro,Intra Auricular,N/A,8,8.55,7.7,3,Hastes,8,Não,N/A,https://youtu.be/xepkzxPCwBU,N/A,https://shope.ee/2pwFYNrSka,7.7,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
i500 AirPro TWS,Intra Auricular,N/A,8,8.5,N/A,3,Hastes,8.5,Não,N/A,https://youtu.be/G7EVLIlSdAg,N/A,https://shope.ee/2pwFYNrSka,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Air4 Pro TWS,Intra Auricular,N/A,8,8.5,N/A,3,Hastes,8,Não,N/A,https://youtu.be/AKiTrY9QSCY,N/A,https://shope.ee/2pwFYNrSka,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
i900.000 Pro TWS,Intra Auricular,N/A,8,8.5,N/A,3,Hastes,8,Não,N/A,https://youtu.be/Aj_taKxq2yY,N/A,https://shope.ee/2pwFYNrSka,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
ANC Air13 Plus,Intra Auricular,N/A,8,8.5,7.7,3,Hastes,8.2,Não,N/A,https://youtu.be/9wpl2YUUzrc,N/A,https://shope.ee/2pwFYNrSka,7.7,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
ANC Air12 Plus,Intra Auricular,N/A,8,8.5,7.5,3,Hastes,8,Não,N/A,https://youtu.be/XbKTNCunnO4,N/A,https://shope.ee/2pwFYNrSka,7.5,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
SkyPods 3 TWS,Intra Auricular,N/A,8,8,N/A,3,Hastes,8,Não,N/A,https://youtu.be/epgdaLfieiI,N/A,https://shope.ee/2pwFYNrSka,N/A,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Haylou GT1 XR,Intra Auricular,130,7.5,7.5,N/A,3.5,Cápsulas,8.5,Não,IPX5,https://youtu.be/1nTgENONwqg,https://amzn.to/3Dfx7qG,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Bluedio S6,Intra Auricular,135,7.5,7.5,N/A,7,Com Gancho,7.5,Não,N/A,https://youtu.be/XiOnAMTJFGE,https://amzn.to/3GiZtD8,https://s.click.aliexpress.com/e/_Dl3CQnv,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
TOZO Tonal Fits T21,Auricular,250,8.71,8.72,N/A,6,Hastes,8.9,Não,IPX8,https://youtu.be/-dxeghI3bM0,https://amzn.to/3QlcIJI,N/A,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
SoundPeats Air 4,Auricular,250,8.71,8.72,7,7,Hastes,8,Sim,IPX5,https://youtu.be/gb_u3qg5U7U,https://amzn.to/47yjdjc,https://s.click.aliexpress.com/e/_DmCRBux,N/A,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não
SoundPeats Air 4 Lite,Auricular,250,8.71,8.71,N/A,7,Hastes,8.7,Sim,IPX5,https://youtu.be/LuckLdI76jM,https://amzn.to/3tIYUAQ,https://s.click.aliexpress.com/e/_DmoBFJT,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
QCY-T21 Fairybuds,Auricular,135,8.67,8.66,N/A,6,Hastes,8.9,Sim,N/A,https://youtu.be/QMa4-jr36CQ,https://amzn.to/3Ck4qec,https://s.click.aliexpress.com/e/_DcJF9Vh,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
QCY-T20,Auricular,120,8.67,8.66,N/A,5.5,Hastes,8.7,Sim,IPX4,https://youtu.be/e25rUw3sMNI,https://amzn.to/3cOv2dv,https://s.click.aliexpress.com/e/_DCGrNtZ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Tranya F4,Auricular,150,8.67,8.65,N/A,6,Hastes,8.8,Sim,IPX5,https://youtu.be/6e6-sEYTuSM,https://amzn.to/3Wk25qN,https://amzn.to/3Wk25qN,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya F1,Auricular,200,8.67,8.65,N/A,7,Hastes,8.8,Sim,IPX5,https://youtu.be/F23fY-PGBDc,https://amzn.to/3AOcW4G,https://amzn.to/3AOcW4G,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
HONOR Choice Earbuds X,Auricular,165,8.67,8.65,N/A,6,Hastes,8.7,Sim,IPX4,https://youtu.be/YTEpoEhTnTI,https://amzn.to/3aETWuN,https://s.click.aliexpress.com/e/_DnOtqqf,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
SoundPeats True Air2,Auricular,140,8.65,8.61,N/A,5,Hastes,8.7,Sim,IPX4,https://youtu.be/QK5KC9Jetnc,https://amzn.to/3Ap6zRS,https://s.click.aliexpress.com/e/_DkwL84T,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tronsmart Onyx Ace Pro,Auricular,180,8.65,8.61,N/A,6.5,Hastes,8.7,Sim,IPX5,https://youtu.be/dyiNfHijWrw,https://amzn.to/3sqSaU3,https://s.click.aliexpress.com/e/_DeuNV3l,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Blitzwolf BW-FYE9,Auricular,215,8.64,8.61,N/A,6,Hastes,8.7,Não,IPX4,https://youtu.be/NWIaAMrGOEY,https://amzn.to/2YwCEtE,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Haylou MoriPods,Auricular,160,8.64,8.61,N/A,6,Hastes,8.7,Não,IPX4,https://youtu.be/aKEATJZa2QE,https://amzn.to/3mzVGIe,https://s.click.aliexpress.com/e/_DkxoOdH,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Syllable S8,Auricular,70,8.35,8.3,N/A,5,Hastes,8.5,Não,IPX6,https://youtu.be/aE5GKeaba1E,https://amzn.to/2YyAiL7,https://s.click.aliexpress.com/e/_DdVGYVV,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Mifa X17,Auricular,150,8.35,8.3,N/A,5,Hastes,8.5,Não,IPX5,https://youtu.be/dhnCpQc9WrQ,https://amzn.to/3DnHusn,https://s.click.aliexpress.com/e/_De9xR1v,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Ugreen Hitune T2,Auricular,210,8.35,8.3,N/A,4,Hastes,8.5,Sim,IPX5,https://youtu.be/t-BSyZJrkIA,https://amzn.to/3iK5mi6,https://s.click.aliexpress.com/e/_DBvFTDv,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
SoundPeats Air3,Auricular,210,8.7,8.7,N/A,5,Hastes,8.7,Sim,IPX5,https://youtu.be/EtDZauw1hS4,https://amzn.to/3mhFpZo,https://s.click.aliexpress.com/e/_Ddg3XcJ,N/A,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats Air3 Deluxe HS,Auricular,230,8.7,8.7,N/A,5,Hastes,8.7,Sim,IPX4,https://youtu.be/sOxg0RR0MdE,https://amzn.to/3TPZ6VP,https://s.click.aliexpress.com/e/_DBE3Lsf,N/A,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Xiaomi Redmi Buds 4 Lite,Auricular,90,8.7,8.69,N/A,5,Hastes,8.7,Sim,IP54,https://youtu.be/WkuCNZ2ZGwA,https://amzn.to/3Yd2ON2,https://s.click.aliexpress.com/e/_DF1rNjp,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
HONOR Earbuds X5,Auricular,125,8.6,8.61,N/A,5,Hastes,8.7,Não,N/A,https://youtu.be/5aftyPgSIis,https://amzn.to/46QumdK,https://s.click.aliexpress.com/e/_DmbvTCj,N/A,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não
Baseus W05,Auricular,100,8.6,8.6,N/A,4,Hastes,8.7,Não,IP55,https://youtu.be/xQHEvSyCPRw,https://amzn.to/3Dq1bQi,N/A,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Edifier X2,Auricular,105,8.6,8.6,N/A,7,Hastes,8.7,Sim,IP54,https://youtu.be/AgbIj4FLtCE,https://amzn.to/3ipUDJe,https://s.click.aliexpress.com/e/_DFahRxl,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
HONOR Earbuds X2,Auricular,140,8.6,8.6,N/A,6,Hastes,8.7,Sim,IPX4,https://youtu.be/sL7ufMNQlQs,https://amzn.to/3QFrGId,https://s.click.aliexpress.com/e/_Dc85RDD,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Xiaomi Redmi Buds 3,Auricular,140,8.6,8.6,N/A,5,Hastes,8.7,Não,IP54,https://youtu.be/royvcL5qTBg,https://amzn.to/3ws1KsD,https://s.click.aliexpress.com/e/_DdIcU3z,N/A,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
Tronsmart Onyx Ace,Auricular,150,8.6,8.6,N/A,5,Hastes,8.7,Não,IPX5,https://youtu.be/H1LvRTcSfaM,https://amzn.to/3mSBi5l,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats Wings 2,Auricular,170,8.6,8.6,N/A,7,Com Gancho,8.7,Sim,IPX5,https://youtu.be/eLFmKSow6bY,https://amzn.to/3LL5ZX5,https://s.click.aliexpress.com/e/_DFWM5eX,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Huawei Freebuds SE 2,Auricular,175,8.6,8.6,N/A,9,Hastes,8.7,Sim,IP54,https://youtu.be/2GSjvXBBJow,https://amzn.to/3teAPkO,https://s.click.aliexpress.com/e/_DlgUzjZ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Xiaomi Air2 SE,Auricular,50,8.6,8.6,N/A,5,Hastes,8.5,Não,N/A,https://youtu.be/UxlseXRaGc8,https://amzn.to/3Akl0Xj,https://s.click.aliexpress.com/e/_DBcAEoj,N/A,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
Syllable J9,Auricular,100,8.5,8.6,N/A,5,Hastes,8,Não,IPX6,https://youtu.be/ekhZSXdUV5I,https://amzn.to/3BdNGFA,https://s.click.aliexpress.com/e/_DlrqNCB,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Edifier TWS200,Auricular,N/A,8.5,8.5,N/A,6,Hastes,8.8,Não,IPX4,https://youtu.be/QDA34iPRtng,https://amzn.to/3akM7ad,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
TOZO Open Buds,Auricular,365,8.5,8.5,N/A,12,Com Gancho,8.7,Não,IPX6,https://youtu.be/qmoE6ebBkKI,https://amzn.to/411IDmC,https://s.click.aliexpress.com/e/_DdBq4gJ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Baseus W04 Pro,Auricular,180,8.5,8.5,N/A,5,Hastes,8,Não,IP54,https://youtu.be/iarlN2hYbF0,https://amzn.to/3DpmeCM,https://s.click.aliexpress.com/e/_Dm5htlv,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Wavefun V,Auricular,90,8.5,"8,5",N/A,4,Hastes,8.5,Não,IPX5,https://youtu.be/YOX7XAEL2Nk,https://amzn.to/3an0RoZ,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
QCY Crossky GTR,Auricular,340,8.4,8,N/A,6,Com Gancho,8.8,Sim,IPX5,https://youtu.be/CNhx4mr0IoM,https://amzn.to/3KfbcGn,https://s.click.aliexpress.com/e/_Dns99lh,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
OneOdio OpenRock S,Auricular,450,8.4,8,N/A,19,Com Gancho,8.8,Não,IPX5,https://youtu.be/zGyATE07YUo,https://amzn.to/45dTz1G,https://s.click.aliexpress.com/e/_DBQX9WJ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
i500 BlackPods,Auricular,N/A,8,9,N/A,3,Hastes,8,Não,N/A,https://youtu.be/-c_4EiUZk0U,N/A,https://shope.ee/6KW7jFTERM,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
A900 TWS,Auricular,220,8,8.6,N/A,6,Hastes,8.7,Não,N/A,https://youtu.be/Ai8ojypjb6k,N/A,https://shope.ee/frkzJL9jE,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Air60 TWS,Auricular,200,8,8.5,N/A,3.5,Hastes,8.7,Não,N/A,https://youtu.be/6y6uNNahuAM,N/A,https://shope.ee/frkzJL9jE,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
i99999 TWS,Auricular,75,8,8.5,N/A,3.5,Hastes,8,Não,N/A,https://youtu.be/GpUJ51CWsNs,N/A,https://shope.ee/6KW7jFTERM,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
IP12 Pro TWS,Auricular,N/A,8,8.5,N/A,3.5,Hastes,8,Não,N/A,https://youtu.be/DaiWncr3VW4,N/A,https://shope.ee/6KW7jFTERM,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
SkyPods Pro TWS,Auricular,N/A,8,8.5,N/A,3.5,Hastes,8,Não,N/A,https://youtu.be/EPkFIY7f5zI,N/A,https://shope.ee/6KW7jFTERM,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
AirPods Mini Pro 5S,Auricular,70,8,8.3,N/A,4,Cápsulas,7.5,Não,N/A,https://youtu.be/N9wK_oItbaU,N/A,https://s.click.aliexpress.com/e/_DdhOf6b,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
QCY-T7,Auricular,90,8,8,N/A,4,Hastes,8,Não,IPX4,https://youtu.be/IYl3YkxnPSs,https://amzn.to/3AtjiD8,https://s.click.aliexpress.com/e/_DePRZ1p,N/A,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Réplica Perfeita,Auricular,N/A,8,8,N/A,3,Hastes,8,Não,N/A,https://youtu.be/D_Tzrd8nzlc,N/A,https://shope.ee/6KW7jFTERM,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Ambie Sound Earcuffs,Auricular,80,7.3,7.5,N/A,4,Com Gancho,8.8,Não,IPX5,https://youtu.be/rmap6OA4yzA,https://amzn.to/3Fplu3b,https://s.click.aliexpress.com/e/_DFTbCD1,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
