modelo,tipo,preço_medio_reais,nota_global,som,anc,autonomia_horas,estilo,microfone,possui_modo_jogo,resistencia,link_review,link_amazon,link_importar,modo_ambiente,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
Huawei Freebuds Pro,Intra Auricular,450,8.76,8.75,9,7,Hastes,9,Não,N/A,https://youtu.be/uxbIAlPk-ss,https://amzn.to/3ujUEW7,https://s.click.aliexpress.com/e/_Dm523WX,8.75,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
Soundpeats Opera,Intra Auricular,500,8.76,8.75,9,9,Cápsulas,8.7,Não,IPX4,https://youtu.be/kFReXN8erG0,https://amzn.to/3kcS2pZ,https://s.click.aliexpress.com/e/_DBBHCeJ,8.9,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
Soundcore Life P3,Intra Auricular,300,8.76,8.75,9,7,Hastes,8.9,Sim,IPX5,https://youtu.be/wYFBZMZYudg,https://amzn.to/308KcUu,https://s.click.aliexpress.com/e/_DEXiH3d,8.7,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Pamu Slide 2,Intra Auricular,450,8.76,8.75,9,6.5,Hastes,8.9,Sim,IPX4,https://youtu.be/OKdE8lMavQE,https://amzn.to/3z9C7wA,https://bit.ly/3PBrSYR,8.7,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
TOZO NC2,Intra Auricular,190,8.76,8.75,9,8,Hastes,8.8,Não,IPX6,https://youtu.be/uXNYRkdPVtA,https://amzn.to/3m5O2Wh,https://s.click.aliexpress.com/e/_Dm6qOXt,8.7,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tronsmart Apollo Bold,Intra Auricular,376,8.76,8.75,9,10,Cápsulas,8.9,Não,IP45,https://youtu.be/OQlvZq-RmEc,https://amzn.to/3ApLiaX,N/A,8.5,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
HONOR Earbuds 2 Lite,Intra Auricular,215,8.76,8.75,8.9,10,Hastes,8.5,Não,IPX4,https://youtu.be/wmnWXyRw11s,https://amzn.to/3GDnODk,https://s.click.aliexpress.com/e/_Dm3d01l,8.65,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Huawei Freebuds 4i,Intra Auricular,350,8.76,8.75,8.9,10,Hastes,8.5,Não,IPX4,https://youtu.be/lRws0ZkAli8,https://amzn.to/3r3Xtc9,https://s.click.aliexpress.com/e/_Ddl7dAT,8.65,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Soundcore Sport X10,Intra Auricular,350,8.76,8.75,8.9,8,Com Gancho,8.8,Não,IPX7,https://youtu.be/3nL7FsMDBS4,https://amzn.to/3PTMJpA,https://s.click.aliexpress.com/e/_DE8JaQR,8.3,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Soundpetas Air 4 Pro,Intra Auricular,315,8.76,8.75,8.74,6,Hastes,8.7,Sim,IPX4,https://youtu.be/WHMfrldND6A,https://amzn.to/42tN9Lh,https://s.click.aliexpress.com/e/_DeWccD7,8.9,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não
